question,option_a,option_b,option_c,option_d,answer,explanation,topic
Which regulation requires an investigator to keep records on study protocol with documents showing the dates of and reasons for each deviation from the protocol?,21 CFR 312.64,21 CFR 812.140(a)(4),ICH GCP guideline,FDA Code of Federal Regulations,B,"21 CFR 812.140(a)(4) requires an investigator to keep records on study protocol with documents showing the dates of and reasons for each deviation from the protocol, as mentioned in the passage.",SOCRA
Which document is not mentioned as a required essential document in the passage?,Signed Protocol,CVs for Investigator and Sub-Investigator,Insurance,Investigator's Brochure,D,"The Investigator's Brochure is not explicitly mentioned as a required essential document in the passage, while the other options (Signed Protocol, CVs for Investigator and Sub-Investigator, Insurance) are listed as necessary documents.",SOCRA
Which of the following is NOT a document required during the clinical conduct of a trial?,Master Randomization List,Certificates of Analysis for any new batches,Laboratory/Medical/Technical certification updates,Decoding Procedure,D,"The Decoding Procedure is not listed as a required document during the clinical conduct of a trial in the passage. The other options, such as Master Randomization List, Certificates of Analysis, and Certification updates, are mentioned as necessary documents.",SOCRA
"According to the passage, how should changes or corrections to a CRF be handled?","Dated, initialed, and explained if necessary",Deleted and re-entered without any explanation,Obscured to avoid confusion,Ignored if they are minor,A,"The passage states that any change or correction to a CRF should be dated, initialed, and explained if necessary. This process ensures transparency and traceability of any modifications made to the data.",SOCRA
"According to the ICH GCP guideline, what should an investigator do to determine the quality of source data prior to abstraction?",Perform double data entry,Verify information through a 2nd review,Batch similar tasks for multiple patients,Retain records for 2 years after FDA approval,B,The correct answer is B. The passage mentions that one of the key points in the process of abstracting and verifying information from source documents is to verify information through a 2nd review. This helps ensure the quality and accuracy of the data being abstracted.,SOCRA
"According to FDA guidance, what is a common issue found during site inspections of clinical investigators?",Failure to follow the investigational plan and signed investigator statement/agreement,Failure to disclose subject names to FDA inspectors,Failure to keep records for 2 years after the study ends,Failure to conduct a more detailed study of individual cases,A,"The passage mentions that a common issue found during site inspections of clinical investigators is the failure to follow the investigational plan and signed investigator statement/agreement, which includes failure to conduct or supervise the study in accordance with the relevant protocol(s). This is in line with 21 CFR 312.60 and 21 CFR 812.110(b).",SOCRA
Which of the following is NOT a key aspect of Quality Assurance (QA) according to the ICH GCP guideline?,Ensuring the trial is performed in compliance with Good Clinical Practice (GCP),Verifying that the requirements for quality of trial-related activities have been fulfilled,Focusing on identification and correction of errors in the end results,Documenting and reporting data in compliance with regulatory requirements,C,"Quality Control (QC) focuses on identification and correction of errors in the end results, while Quality Assurance (QA) focuses on ensuring that the trial is performed in compliance with GCP and regulatory requirements, and on documenting and reporting data in compliance with regulations.",SOCRA
"According to FDA 21 CFR 312.3, which of the following statements about a sponsor-investigator is true?",A sponsor-investigator is an individual who initiates a clinical investigation but does not conduct it.,A sponsor-investigator is an individual who conducts a clinical investigation but does not initiate it.,A sponsor-investigator is an individual who both initiates and conducts a clinical investigation.,A sponsor-investigator is a company or organization that contracts with clinical sites to conduct investigations.,C,"According to FDA 21 CFR 312.3, a sponsor-investigator is defined as an individual who both initiates and conducts an investigation, and under whose immediate direction the investigational drug is administered or dispensed. This means that a sponsor-investigator is directly involved in both initiating and conducting the clinical investigation.",SOCRA
"According to FDA regulations, what is the overall responsibility of a sponsor in a clinical investigation?",Conducting the investigation personally,Selecting qualified investigators and ensuring compliance with regulations,Providing medical treatment to study participants,Monitoring adverse effects in real-time,B,"As per FDA regulations, the overall responsibility of a sponsor in a clinical investigation includes selecting qualified investigators, ensuring compliance with regulations, proper monitoring of the investigation, maintaining an effective IND, and promptly informing the FDA of significant new adverse effects or risks.",SOCRA
"According to 21 CFR 312.53(a), what specific requirements should sponsors follow when selecting an investigator/clinical trial site?",Select only investigators who have conducted similar trials previously,Select only investigators who have a medical degree,Select only investigators qualified by training and experience as appropriate experts to investigate the drug,Select only investigators who have published research in the field,C,"21 CFR 312.53(a) requires sponsors to select investigators who are qualified by training and experience as appropriate experts to investigate the drug. This regulation emphasizes the importance of investigator qualification based on expertise and experience, rather than specific credentials or previous trial experience.",SOCRA
What document must the sponsor provide to the investigator before the start of a clinical trial?,Case Report Form,Investigator's Brochure,Informed Consent Form,Protocol Amendment,B,"Before the start of the clinical trial, the sponsor is required to provide the investigator's brochure to the investigator, as stated in the passage.",SOCRA
"According to FDA regulations, who can serve as a clinical trial monitor?",Only employees of the sponsor,Contract research organizations (CROs),Independent monitors who are self-employed,All of the above,D,"FDA regulations allow for various types of individuals to serve as clinical trial monitors, including employees of the sponsor (In House CRA), contract research organizations (CROs), and independent monitors who are self-employed. Therefore, all of the options (A, B, C) are correct.",SOCRA
What is the primary responsibility of a clinical research monitor in ensuring data accuracy?,Verifying investigator's brochure receipt,Checking subject recruitment rate,Ensuring accurate CRF entries,Reporting withdrawal of subjects,C,"Clinical research monitors are responsible for checking the accuracy and completeness of CRF entries, ensuring that data required by the protocol are reported accurately and consistent with source documents, documenting dose/therapy modifications, reporting adverse events, and ensuring all necessary information is accurately recorded.",SOCRA
What should a monitor do if an investigator makes corrections to a CRF entry?,Ignore the corrections,"Ensure corrections are appropriately made, dated, explained, and initialed by the investigator or authorized personnel",Report the investigator to the FDA,Notify the sponsor immediately,B,"According to the passage, the monitor should ensure that corrections to CRF entries are appropriately made, dated, explained if necessary, and initialed by the investigator or authorized personnel. This process should be documented to maintain data integrity and compliance.",SOCRA
"According to 21 CFR 312.32, what is the sponsor required to do in relation to safety issues of the investigational drug?",Make annual reports on the progress of the investigation,"Notify FDA, institutional review boards, and investigators if the drug presents an unreasonable risk",Discontinue the investigation within 5 working days of determining significant risk,Confer with FDA on the need to discontinue an investigation upon request,B,"According to 21 CFR 312.32, the sponsor is required to notify FDA, institutional review boards, and investigators if the investigational drug presents an unreasonable and significant risk to subjects. This notification should lead to discontinuation of investigations presenting such risks, along with other specified actions.",SOCRA
"According to the passage, what is the timeline for reporting potential serious risks associated with an investigational drug to the FDA and participating investigators?",Within 24 hours,Within 7 calendar days,Within 15 calendar days,Within 30 calendar days,C,"According to the passage, the sponsor must report any potential serious risks associated with the investigational product to the FDA and all participating investigators as soon as possible, but not more than 15 calendar days after the sponsor determined that the events meet the criteria.",SOCRA
Which of the following is NOT a requirement for reporting IND Safety Reports?,Submitting findings from animal or in-vitro testing in a narrative format,Notifying FDA of unexpected fatal or life-threatening suspected adverse reactions within 7 calendar days,Submitting overall findings or pooled analyses in an electronic format that FDA can process,Submitting Council for International Organizations of Medical Sciences (CIOMS) I Form for foreign suspected adverse reactions,C,"The passage states that overall findings or pooled analyses must be submitted in a narrative format, not in an electronic format that FDA can process.",SOCRA
What is the required timeline for a sponsor to report any unanticipated adverse device effects to FDA and all reviewing IRBs and participating investigators?,Within 5 working days,Within 10 working days,Within 15 working days,Within 20 working days,B,"According to the passage, a sponsor is required to report any unanticipated adverse device effects to FDA and all reviewing IRBs and participating investigators within 10 working days after the sponsor first receives notice of the effect.",SOCRA
"According to the passage, how soon must a sponsor notify FDA and all reviewing IRBs of any request to return, repair, or dispose of units of a device?",Within 30 working days,Within 5 working days,Within 60 days,Within 45 working days,A,"The passage states that a sponsor shall notify FDA and all reviewing IRBs of any request to return, repair, or dispose of units of a device within 30 working days after the request is made.",SOCRA
"According to the passage, what is required for a sponsor conducting clinical trials on a significant risk device?",Submit progress reports to all reviewing IRBs at regular intervals,Submit progress reports to FDA at least yearly,Submit semi-annual progress reports to all reviewing IRBs and FDA,Submit progress reports to FDA only,C,The passage states that a sponsor conducting clinical trials on a significant risk device is required to submit semi-annual progress reports to all reviewing IRBs and FDA in accordance with the regulations.,SOCRA
"According to Section 5.6.3(a) of the ICH GCP guideline, what is the responsibility of the sponsor regarding investigator training?",Ensure investigators receive appropriate GCP training,Conduct the trial according to regulations only,Submit final reports to FDA within 6 months,Retrieve unused investigational products from subjects,A,"Section 5.6.3(a) of the ICH GCP guideline requires the sponsor to ensure that the investigator receives appropriate GCP training prior to participation in the trial. This is to ensure that the investigator conducts the trial according to the GCP guideline, appropriate regulations, and study protocol.",SOCRA
"According to ICH GCP guidelines, who is responsible for ensuring that the investigator and the investigator's trial staff are adequately informed about the trial?",Study Coordinator,Clinical Research Associate,Principal Investigator,Sponsor,B,Section 5.18.4 of the ICH GCP guideline states that one of the monitor's responsibilities is to ensure that the investigator and the investigator's trial staff are adequately informed about the trial. Clinical Research Associates (CRAs) are also known as study monitors and are responsible for this task.,SOCRA
"According to the passage, which of the following is NOT a requirement for investigational product accountability for the sponsor?","Maintain records of shipment, receipt, disposition, return, and destruction of investigational products",Ensure timely delivery of investigational products to the investigator,Maintain a system for retrieving investigational products and documenting the retrieval,Conduct regular audits of investigator facilities for investigational product storage,D,"The passage outlines the requirements for investigational product accountability for the sponsor, including maintaining records, ensuring timely delivery, and documenting retrieval and disposition. However, conducting regular audits of investigator facilities for investigational product storage is not specifically mentioned as a requirement for the sponsor's accountability.",SOCRA
"According to ICH GCP guidelines, what is the purpose of maintaining standard operating procedures (SOPs) in clinical trials?",To ensure trials are conducted and data are generated in compliance with regulations,To reduce costs associated with investigational product storage,To speed up the process of trial completion,To avoid retention of investigational product samples,A,"Standard operating procedures (SOPs) are required to ensure that trials are conducted and data are generated, documented, and reported in compliance with the protocol, Good Clinical Practice (GCP), and the applicable regulatory requirements. SOPs play a critical role in maintaining quality assurance and quality control systems in clinical trials.",SOCRA
Which FDA form is signed by the investigator to assure compliance with FDA regulations related to the conduct of a clinical investigation?,FDA Form 1571,FDA Form 1572,FDA Form 3454,FDA Form 3455,B,"FDA Form 1572, known as the Statement of Investigator, is the form signed by the investigator to assure compliance with FDA regulations related to the conduct of a clinical investigation of an investigational product.",SOCRA
What is included in the content of an IND (Investigational New Drug)?,Patient demographics and medical history,Manufacturing Information and Clinical Protocols,Health insurance coverage details,Patient consent forms and study results,B,"The content of an IND includes Manufacturing Information (information on composition, manufacturer, stability, and controls used for manufacturing the drug substance and the drug product) and Clinical Protocols and Investigator Information (detailed protocols, investigator's brochure, and information on the qualifications of clinical investigators who oversee the administration of the experimental compound).",SOCRA
"According to the passage, what is the timeframe for submitting a final report for a trial on a non-significant risk device?",Within 30 working days of completion or termination,"Within 6 months after completion or termination to FDA, all reviewing IRBs, and participating investigators",Within 6 months after completion or termination to all reviewing IRBs,There is no requirement to submit a final report for non-significant risk devices,C,"According to the passage, for a trial on a non-significant risk device, the sponsor should submit a final report to all reviewing IRBs within 6 months after completion or termination.",SOCRA
"According to the ICH GCP guideline, who is responsible for retaining sponsor-specific essential documents pertaining to a clinical trial?",Investigator,Sponsor,CRO,Regulatory Authority,B,Section 5.5.6 of the ICH GCP guideline specifies that the sponsor should retain all sponsor-specific essential documents pertaining to the trial.,SOCRA
"According to Section 5.5.3 of the ICH GCP guideline, what is a requirement for electronic trial data systems to ensure data integrity?",Maintain an audit trail of data changes,Allow deletion of entered data,Have no security system in place,Do not maintain a list of authorized individuals,A,"According to the passage, one of the requirements for electronic trial data systems to ensure data integrity is to maintain an audit trail of data changes to document any modifications made to the data without deleting entered data.",SOCRA
"What is the primary emphasis of FDA regulations (21 CFR 11.30) for open systems in terms of ensuring authenticity, integrity, and confidentiality of electronic records?",Ensuring access control and restricted user permissions,Implementing appropriate digital signature standards and encryption,Regularly updating software and hardware systems,Conducting routine data backups,B,"FDA regulations (21 CFR 11.30) for open systems emphasize the need to ensure authenticity, integrity, and confidentiality through the use of appropriate digital signature standards and encryption. This helps in safeguarding electronic records from unauthorized access, modification, or compromise.",SOCRA
What is a major responsibility of a study monitor in clinical research?,Assist in regulatory application submission,Prepare trial sites for conducting the study,Monitor the trial throughout its duration,Verify financial disclosures,C,A major responsibility of a study monitor in clinical research is to monitor the trial throughout its duration from initiation to close out. This involves both on-site visits and remote inquiries to ensure compliance and data integrity.,SOCRA
What is the main purpose of a sponsor QA audit visit to clinical trial sites?,To conduct quality control monitoring,To oversee the quality of clinical trial conduct,To identify potential issues and improvement opportunities,To collaborate with study monitors,C,"The main purpose of a sponsor QA audit visit to clinical trial sites is to identify potential issues and improvement opportunities, as mentioned in the passage. This helps in ensuring quality oversight, identifying regulatory risks, and improving the overall conduct of the clinical trial.",SOCRA
What is the term used for abstracting-verifying information from medical records from the sponsor's standpoint?,Data Monitoring,Source Data Verification (SDV),Clinical Trial Monitoring,Investigator's Verification,B,"In the context of the passage, abstracting-verifying information from medical records from the sponsor's standpoint is referred to as Source Data Verification (SDV). This process is conducted by the study monitor as part of clinical trial monitoring to ensure the accuracy and consistency of data entered on the case report form (CRF) based on the source data.",SOCRA
"According to 21 CFR regulations, how long must a sponsor retain study records for investigational drug trials after a marketing application is approved?",1 year,2 years,3 years,4 years,B,"According to 21 CFR 312.57jcl, a sponsor conducting investigational drug trials must keep study records for 2 years after a marketing application is approved.",SOCRA
Which of the following is NOT a stage in the process of drug development?,Drug Discovery,Pre-clinical testing,Clinical trials,Post market surveillance,D,Post market surveillance is not a stage in the process of drug development. It occurs after a drug has been approved and is on the market to monitor its safety and effectiveness in real-world use.,SOCRA
What is the purpose of Pharmacodynamics (PD) studies in pre-clinical testing of a new drug?,To study the chemical makeup of the drug,To determine appropriate doses and dosing schemes,To learn what happens to the drug in a living organism,To study the mechanisms of drug action and the impact of drug concentration,D,Pharmacodynamics (PD) studies aim to learn the mechanisms of drug action and the impact of drug concentration on the living organism. This helps in understanding how the drug works in the body and its effects.,SOCRA
Which phase of clinical trials is often referred to as 'Proof of Concept'?,Phase I,Phase II,Phase III,Phase IV,B,Phase II studies are often referred to as 'Proof of Concept' as they evaluate the efficacy of the new drug and determine its fate for further development.,SOCRA
"Which phase of clinical trials is conducted to collect safety information in a larger population and over a longer time period than in phase I, II, and III trials?",Phase I,Phase II,Phase III,Phase IV,D,Phase IV studies are conducted after regulatory approval of a new drug to collect safety information in a larger population and over a longer time period than in earlier phases. These studies are crucial for monitoring the safety of the drug in real-world settings.,SOCRA
Which class of medical devices usually require FDA Premarket Approval Application (PMA) submission?,Class I,Class II,Class III,Class IV,C,"Class III medical devices usually require FDA Premarket Approval Application (PMA) submission as they support or sustain human life and present significant risk, necessitating the highest level of regulation.",SOCRA
What is the main difference between clinical trials for new drugs and clinical trials for new PMA required devices?,"Drug trials have phases, while medical device trials do not.","Medical device trials involve animal studies, while drug trials do not.","Medical device trials require IRB review, while drug trials do not.","Drug trials involve post-market studies, while medical device trials do not.",A,"The main difference highlighted in the passage is that drug trials have phases (such as Phase 1, Phase 2, Phase 3), while medical device trials do not follow the traditional phase structure.",SOCRA
Which type of device is an investigational device that does not meet the Significant Risk (SR) requirement?,Non-Significant Risk (NSR) device,Exempt device,High-Risk device,Controlled device,A,"A Non-Significant Risk (NSR) device is an investigational device that does not meet the SR requirement, as it poses a lower level of risk to the health, safety, or welfare of a subject compared to SR devices.",SOCRA
Which of the following criteria exempts a device study from requiring FDA notification and allows it to be carried out under IRB approval?,Device intended solely for veterinary use,Device undergoing consumer preference testing,Device used as a diagnostic procedure without confirmation by another diagnostic product,Device labeled for research on laboratory animals,B,"According to the passage, a device undergoing consumer preference testing, testing of a modification, or testing of a combination of two or more devices in commercial distribution, if the testing is not for the purpose of determining safety or effectiveness and does not put subjects at risk, is exempt from FDA notification and can be carried out under IRB approval.",SOCRA
What is the key difference in the agreement required between sponsors and investigators for drug trials versus medical device trials?,The use of FDA form 1572 for drug trials and Investigator's Agreement for medical device trials.,The specific format provided by the FDA for the agreement.,The level of care provided by the caring physician in drug trials versus medical device trials.,The cost of investigational drugs provided to investigators.,A,"The passage states that for drug trials, FDA form 1572 is used for the agreement between sponsors and investigators, while for medical device trials, an agreement called 'Investigator's Agreement' is used.",SOCRA
Which term is used for adverse events in medical device trials?,Unanticipated adverse device effect (UADE),Serious adverse event (SAE),Unexpected adverse drug event,Adverse drug reaction (ADR),A,"In medical device trials, the term used for adverse events is 'Unanticipated adverse device effect (UADE)', as mentioned in the passage.",SOCRA
How many clinical sites are generally required by the FDA for evaluating the performance of an IVD?,1 or 2,3 or more,5 or more,10 or more,B,"The passage states that in general, FDA required clinical trials to evaluate the performance of an IVD to be evaluated at 3 or more clinical sites.",SOCRA
Which of the following is NOT a requirement for using leftover specimens in a clinical trial?,Specimens are not individually identifiable,Specimens are provided to the investigator(s) without identifiers that can identify patient information,Specimens must be stored in a specific temperature range,Individual caring for the patients are different from those conducting the clinical trial,C,"The passage states that leftover specimens can be used as long as they are not individually identifiable, provided to the investigator(s) without identifiers, and individuals caring for the patients are different from those conducting the trial. There is no mention of a specific temperature range requirement for using leftover specimens.",SOCRA
"During an FDA inspection of a sponsor or CRO, which of the following areas is NOT typically a focus?",Personnel and Organization,Selection of Site/ Investigators and Ongoing Communication,Control of investigational product(s),Review of key personnel involved in clinical studies,B,"During an FDA inspection of a sponsor or CRO, the focus is typically on areas such as Personnel and Organization, Control of investigational product(s), and Review of key personnel involved in clinical studies. Selection of Site/ Investigators and Ongoing Communication is important but may not be the primary focus during an FDA inspection.",SOCRA
What document may be provided by an FDA inspector at the end of an inspection if objectionable conditions are observed?,FDA Form 483,Protocol,Batch records,Certificate of analysis,A,An FDA inspector may provide the sponsor/CRO with an FDA Form 483 if objectionable conditions are observed during an inspection. This form lists the observations made by the FDA inspector.,SOCRA
What is a Warning Letter issued by the FDA?,A formal notification allowing immediate corrective action,A private communication to the sponsor/CRO,A public document posted on the FDA website,A request for additional information from the investigator,A,A Warning Letter is a formal notification that allows prompt voluntary corrective action to be taken by the sponsor/CRO. It is a serious communication from the FDA regarding compliance issues found during inspections.,SOCRA
What is a recommended action to take prior to an FDA inspection of a clinical trial site?,"Notify study staff, sponsor, and IRB",Conceal any correspondence with the FDA inspector,Delay the availability of medical records for subjects,Ignore outstanding issues in study documentation,A,"It is recommended to notify study staff, sponsor, and IRB prior to an FDA inspection to ensure preparedness and compliance with regulatory requirements.",SOCRA
Which aspect of the clinical trial process involves ensuring that the investigational product is accounted for properly?,Documentation of Informed Consent,Clinical Trial Oversight/Monitoring,Investigational Product Accountability,Adverse Events,C,"Investigational Product Accountability involves ensuring the proper accountability for the investigational product, including shipping records and disposition of unused product.",SOCRA
What legal proceeding process may be initiated by the FDA for investigators who are repeatedly or deliberately non-compliant to regulations and/or had committed fraud?,Notice of Initiation of Disqualification Proceedings and Opportunity to Explain (NIDPOE),Establishment Inspection Report (EIR),FDA form 483,Warning Letter (WL),A,The Notice of Initiation of Disqualification Proceedings and Opportunity to Explain (NIDPOE) is the legal proceeding process initiated by the FDA for investigators who are repeatedly or deliberately non-compliant to regulations and/or had committed fraud.,SOCRA
What is the condition listed under 'Problem' section of the progress note?,Barrett's esophagus without dysplasia,H. pylori gastritis,Morbid obesity,Gastric bypass surgery,A,"The condition listed under the 'Problem' section of the progress note is Barrett's esophagus without dysplasia, as mentioned in the assessment section of the patient's progress note.",SOCRA
Which lab result below is considered outside of the reference range in the lab report?,HGB (HEMOGLOBIN) at 14.5 g/dL,PLATELET COUNT at 135 Thous/cu.mm,"MONOCYTES, % at 10.3 percent","TOTAL NEUTROPHILS, ABSOLUTE at 3123 Cells/cu.mm",B,"The correct answer is B. A normal platelet count typically ranges from 150,000 to 450,000 platelets per microliter of blood. A count of 135 Thous/cu.mm is below this range and considered outside the reference range.",SOCRA
"According to the Belmont Report, which of the following best describes the principle of beneficence?",Treating individuals as autonomous agents,Maximizing possible benefits and minimizing possible harms,Providing an equal share to each person,Selecting research subjects based on availability,B,The principle of beneficence in the Belmont Report emphasizes the importance of maximizing possible benefits and minimizing possible harms to individuals involved in research studies.,ACRP
Which of the following are the three principles discussed in the Belmont Report?,"Respect for persons, beneficence, justice","Voluntary consent, scientific merit, risk-benefit analysis","Informed consent, IRB, investigational medical devices","Autonomy, protection, termination rights",A,"The correct answer is A: Respect for persons, beneficence, justice. These are the three principles discussed in the Belmont Report.",ACRP
Which document serves as international guidelines for the review and conduct of research involving human subjects?,Declaration of Helsinki,45 CFR 46,ICH E6,Nuremberg Code,A,The Declaration of Helsinki (1964) provides recommendations guiding medical doctors in biomedical research involving human subjects and is designed to serve as international guidelines for the review and conduct of such research.,ACRP
"According to federal regulations, which of the following best describes when expedited review of a new, proposed study may be used by the IRB?",For established categories and minor changes in previously approved research,When the research involves more than minimal risk,For major changes in previously approved research,When the research project is inconsistent with federally defined categories,A,"Expedited review can be used for established categories and minor changes in previously approved research, as per federal regulations.",ACRP
Which of the following statements is true about IRB continuing review for a greater than minimal risk approved protocol that is currently enrolling subjects?,It must occur at least biannually,It must occur at least quarterly,It must occur at least annually,It must occur at least monthly,C,"According to the passage, IRB continuing review of a greater than minimal risk approved protocol that is currently enrolling subjects must occur at least annually.",ACRP
Which of the following is NOT an element required for legally appropriate informed consent according to 46/116(b)?,A statement that the study involves research and an explanation of the research's purpose,A description of any benefits to the subjects or to others that may reasonably be expected from the research,An explanation of whom to contact for answers to pertinent questions about the research and research subject's rights,A statement that participation is mandatory and refusal will result in penalties,D,"Legally appropriate informed consent should include the statement that participation is voluntary and refusal to participate will involve no penalty or loss of benefits. Therefore, option D, stating that participation is mandatory and refusal will result in penalties, is NOT an element required for legally appropriate informed consent.",ACRP
Which of the following elements should be included in legally effective informed consent according to the passage?,Anticipated circumstances for subject's participation termination without consent,Disclosure of clinically relevant research results under certain conditions,Statement on potential commercial profit from biospecimens,All of the above,D,"The passage mentions that legally effective informed consent should include anticipated circumstances for subject's participation termination without consent, disclosure of clinically relevant research results, and a statement on potential commercial profit from biospecimens.",ACRP
Which of the following circumstances allows an IRB to waive or alter informed consent according to HHS regulations at 45 CFR 46.116?,Government projects,General waivers and alterations,"Screening, recruiting, or determining eligibility",All of the above,D,"HHS regulations at 45 CFR 46.116 allow an IRB to waive or alter informed consent under all of the mentioned circumstances: government projects, general waivers and alterations, and screening, recruiting, or determining eligibility.",ACRP
What is the purpose of informed consent in clinical research?,To provide a potential subject with appropriate information in an appropriate manner and allow that person to make an informed decision about participation in research.,To force individuals to participate in research against their will.,To hide information from potential subjects to increase study enrollment.,To skip the consent process for expedited enrollment.,A,"Informed consent in clinical research is designed to provide individuals with all necessary information about a study, including its risks and benefits, in a way that they can understand. This allows them to make an informed decision about whether or not to participate voluntarily.",ACRP
Which of the following statements in a consent form is an example of exculpatory language?,I waive any possibility of compensation for injuries that I may receive as a result of participation in this research,An exception or waiver for informed consent can be made under these circumstances. The IRB will be notified later.,"Genetic testing can reveal a strong predisposition to future disease, making the information psychologically powerful and raising concerns about stigma or discrimination","Related individuals share many of the same gene sequences in their DNA, meaning that genetic information about one individual provides information about other individuals who may or may not have consented to genetic testing",A,"Option A is an example of exculpatory language as it waives any possibility of compensation for injuries, which violates the requirement that the informed consent form may not include language that waives the subject's legal rights or releases those conducting the research from liability for negligence.",ACRP
Which choice best describes the purpose of most pharmacogenomic research?,To evaluate the association between individual genotypes and the safety and efficacy of a particular drug or class of drugs,To determine the effects of findings on other family members,To protect individuals from health insurance and employment discrimination,To establish and follow written procedures for ensuring prompt reporting to the IRB,A,"Pharmacogenomic research focuses on evaluating how individual genotypes influence the safety and efficacy of specific drugs or drug classes, aiming to personalize treatment based on genetic factors.",ACRP
"According to OHRP, which of the following is NOT a criterion for considering an incident as an unanticipated problem?",Related or possibly related to participation in the research,Suggests that the research places subjects or others at a greater risk of harm than was previously known or recognized,Only adverse events that are also unanticipated problems need to be reported to the IRB,Unanticipated adverse device effects,C,"According to OHRP, all incidents meeting the criteria of being unexpected given the research procedures, related to participation in the research, and suggesting greater risk are considered unanticipated problems. However, the statement 'Only adverse events that are also unanticipated problems need to be reported to the IRB' is incorrect as all unanticipated problems, not just adverse events, need to be reported.",ACRP
"According to 21 CFR 812, who is responsible for reporting unanticipated adverse device effects to the FDA and all reviewing IRBs and participating investigators within 10 working days?",Researcher,Sponsor,Investigator,IRB,B,"In 21 CFR 812.150(b)(1), the sponsor is required to report unanticipated adverse device effects to the FDA and all reviewing IRBs and participating investigators within 10 working days after the sponsor first receives notice of the effect.",ACRP
Which scenario described in the passage is considered an unanticipated problem but not an adverse event?,Missing the administration of Drug 2 on Day 7,A subject receiving the wrong study drug resulting in severe nausea and vomiting,Housekeeping employees losing study subject file folders,Recruiting housekeeping employees for a federally funded study,A,"The scenario of missing the administration of Drug 2 on Day 7 is classified as an unanticipated problem but not an adverse event, as it placed the subject at risk of toxicity, requiring close monitoring and notification without resulting in direct harm or adverse effects.",ACRP
What is the primary reason for notifying the IRB and FDA in the scenario described?,To report unexpected findings in the screening process,To inform about the lack of harm caused to the subjects,To address an unanticipated problem in the clinical trial,To update on the status of the investigational biologic,C,"In the scenario, the primary reason for notifying the IRB and FDA is to address an unanticipated problem, which is a requirement when unexpected issues, such as the lack of appropriate screening for viral contaminants, arise during a clinical trial.",ACRP
"According to HHS 45 CFR 46.111(b), which of the following is NOT considered an example of vulnerable subjects?",Children,Prisoners,Subjects with a serious illness,Healthy adults,D,"HHS 45 CFR 46.111(b) lists children, prisoners, and subjects with impaired decision-making capacity as examples of vulnerable subjects. While subjects with a serious illness may be vulnerable in certain situations, they are not explicitly mentioned in this specific regulation as vulnerable subjects.",ACRP
What document is required to notify the FDA of relevant changes in researchers conducting clinical trials under the IND?,Data from prior animal or human testing,Methods of manufacturing,Plans for testing and reporting significant toxicities,Form FDA 1572 - Statement of Investigator,D,"Form FDA 1572, also known as the Statement of Investigator, is the document that notifies the FDA of relevant changes in researchers conducting clinical trials under the IND. It is a crucial regulatory document that outlines the agreement between the researcher and the sponsor assuring compliance with FDA regulations.",ACRP
What is required for researchers to participate in drug and biologic studies subject to IND regulations?,Submit Form FDA 1572,Submit a premarket notification to the FDA,Submit a premarket approval application,Submit a summary to the FDA,A,"Researchers participating in drug and biologic studies subject to the IND regulations must sign Form FDA 1572, which outlines the commitments and qualifications required for conducting the study.",ACRP
Which of the following is NOT a characteristic of a Significant Risk (SR) device according to 21 CFR 812.3?,Is intended to be implanted into a human,Is used in supporting or sustaining human life,"Is of substantial importance in diagnosing, curing, mitigating, or treating disease or otherwise prevents impairment of human health",Is designed for cosmetic purposes only,D,"According to 21 CFR 812.3, a Significant Risk (SR) device must meet criteria A, B, and C to be classified as such. The option 'Is designed for cosmetic purposes only' does not align with the characteristics of a SR device.",ACRP
What is the usual procedure for a physician if an individual subject does not meet the criteria for an existing research plan or an approved research plan does not exist?,Contact the manufacturer for emergency use under the company's IND,Notify the FDA of the situation and request emergency use authorization,Proceed with the use of the investigational product without any additional steps,Seek approval from the IRB chair before proceeding with the emergency use,A,"In such situations, the usual procedure for the physician is to contact the manufacturer and determine if the drug can be made available for an 'emergency use' under the company's IND, as stated in the passage.",ACRP
What is the responsibility of the sponsor in an Investigator Initiated Trial (IIT)?,Selecting and monitoring clinical researchers,Administering the drug or device to subjects,Preparing case histories and informed consent documents,Completing regulatory filings related to the study,A,"The responsibility of the sponsor in an Investigator Initiated Trial (IIT) includes selecting clinical researchers qualified by training and experience, informing and qualifying researchers, monitoring the study's conduct, and controlling the distribution of regulated products.",ACRP
What is one of the requirements for computer systems to comply with 21 CFR Part 11 regarding electronic records and signatures?,Regular system maintenance,Ensuring only authorized individuals have access,Conducting drug efficacy studies,Implementing patient education programs,B,"One of the requirements for computer systems to comply with 21 CFR Part 11 is that only authorized individuals should have access to the system, alter records, and perform operations. This is to ensure data security and integrity.",ACRP
What is the most appropriate action for the investigator proposing a study on a marketed product for high blood pressure in individuals under age 12 using a liquid formulation for children under age 12?,Submit the research protocol to the IRB for review and submit an IND application to the FDA before conducting research,Start the research without any regulatory approvals,Seek approval only from the drug sponsor,Skip the IRB review and directly proceed with the research,A,The most appropriate action for the investigator is to submit the research protocol to the IRB for review and submit an IND application to the FDA before conducting the research. This ensures compliance with regulatory requirements and ethical considerations before initiating the study.,ACRP
"Who is typically the head of the research team, often the corresponding author, and in some disciplines, the last author?",Submitting author,Senior author,First author,Corresponding author,B,"The passage states that the senior author is normally the head of the research team, often the corresponding author, and in some disciplines, the last author.",ACRP
